"merchant_name","category","product","price","discount_price","description","area","latitude","longitude"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Messy Cheesy Beef Burger","49990","44990","Cheese Stuffed Beef Patty, Cheese Slice, Tomato, Lettuce, Honey Mustard, BBQ Sauce","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Messy Cheesy Chicken Burger","46990","41990","Cheese Stuffed Chicken Patty, Cheese Slice, Tomato, Lettuce, Honey Mustard, BBQ Sauce","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Lil' Bro Chicken Burger Combo","39990","35990","2x Lil' Bro Chicken Burgers","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Junior Meal","43000","38500","1x Lil' Bro Chicken Burger, French Fries Medium, Yakult","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Double Choco Greentea Frappe","38990","33990","A Frappe blend of our favorite matcha and chocolate (Recommended)","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Double Dark Chocolate Frappe","38990","33990","A frappe blend of chocolate on top of chocolate sauce","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Mocha Caramel Frappe","39990","34990","A frappe blend of chocolate and coffee","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Roasted Hazelnut Cookies and Cream Blend","39990","34990","A frappe blend of roasted hazelnut sauce and cookies and cream","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Creamy Cendol Frappe","36990","31990","A frappe blend of cendol","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","BroBagi 1 - The Chicken Burger Meal","130960","99990","2 She Caught the Chicken Burger, 1 Es Matcha Mindfulness, 1 Es Cokelat Cozy","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","BroBagi 2 - The Brothers Meal","136960","99990","1 Chicago Beef Burger, 1 She Caught the Chicken Burger, 1 Matcha Mindfulness, 1 Es Cokelat Cozy","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","BroBagi 3 - The Crispy Chicken Meal","132960","99990","1 Fried Chicken Rice Meal Classic, 1 She Caught the Chicken Burger, 1 Matcha Mindfulness, 1 Es Cokelat Cozy","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","The Brothers","81980","72990","1 Chicago Beef Burger, 1 She Caught the Chicken Burger","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","The Cheesy Chicken Combo","82980","73990","1 Cheese Beef Burger to Love, 1 She Caught the Chicken Burger","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","The Chicken Burger Combo","75980","67990","2x She Caught the Chicken Burgers","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Best of Chicken Burger","72980","64990","1 She Caught the Chicken Burger, 1 The O.G. Chicken Burger","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","The O.G. Chicken Burger Combo","69980","61990","2x The O.G. Chicken Burgers","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Asian Chicken Burger Combo","78980","71990","1 Daebak Chicken Burger, 1 Thai Chili Chicken Burger","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","She Caught Ol Fish Combo","80980","72990","1 The Good Ol Fish Burger, 1 She Caught the Chicken Burger","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Chicago Beef Burger Meal","67480","60490","Chicago Beef Burger, French Fries, Tea","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","She Caught the Chicken Burger Meal","61480","54490","She Caught the Chicken Burger, French Fries, Tea","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Cheese Burger to Love Meal","68480","61490","Cheese Burger to Love, French Fries, Tea","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","The O.G. Chicken Burger Meal","58480","51990","The O.G. Chicken Burger, French Fries, Tea","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","She Caught the Chicken Burger, Es Matcha Mindfulness","64980","48990","1x She Caught the Chicken Burger, 1x Es Matcha Mindfulness","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Chicago Beef Burger, Es Kopi Cheer Me Up","66980","58990","1 Chicago Beef Burger, 1 Es Kopi Cheer Me Up","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","1 Chicago Beef Burger dan 1 Coca-Cola","59990","57000","1 Chicago Beef Burger, 1 Coca-Cola 330ml","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Bros Family Pack Chicken Burger","158940","123990","She Caught the Chicken Burger, The O.G. Chicken Burger, 2x Lil' Bro Chicken Burger, 4 Drinks","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Fried Chicken Rice Meal Mixed","51980","45990","Rice, 1 pc Fried Chicken, 1 pc Crispy Fried Chicken Fillet, 1 Drink","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Fried Chicken BOX","99990","89990","5 pcs Fried Chicken","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Black Pepper Fried Chicken Rice Meal","61980","48990","Rice, 1 pc Fried Chicken, 1 pc Crispy Fried Chicken Fillet, 1 Drink","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Bros Family Pack Fried Chicken","147960","117990","5 Pcs Fried Chicken, 3 Rice, 3 Drinks","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Messy Cheesy Beef Burger","49990","44990","Cheese Stuffed Beef Patty, Cheese Slice, Tomato, Lettuce, Honey Mustard, BBQ Sauce","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Messy Cheesy Chicken Burger","46990","41990","Cheese Stuffed Chicken Patty, Cheese Slice, Tomato, Lettuce, Honey Mustard, BBQ Sauce","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Lil' Bro Chicken Burger Combo","39990","35990","2x Lil' Bro Chicken Burgers","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Junior Meal","43000","38500","1x Lil' Bro Chicken Burger, French Fries Medium, Yakult","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Double Choco Greentea Frappe","38990","33990","A Frappe blend of our favorite matcha and chocolate (Recommended)","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Double Dark Chocolate Frappe","38990","33990","A frappe blend of chocolate on top of chocolate sauce","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Mocha Caramel Frappe","39990","34990","A frappe blend of chocolate and coffee","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Roasted Hazelnut Cookies and Cream Blend","39990","34990","A frappe blend of roasted hazelnut sauce and cookies and cream","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Jajanan/Barat/Cepat saji","Creamy Cendol Frappe","36990","31990","A frappe blend of cendol","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","BroBagi 1 - The Chicken Burger Meal","130960","99990","2 She Caught the Chicken Burger + 1 Es Matcha Mindfulness + 1 Es Cokelat Cozy","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","BroBagi 2 - The Brothers Meal","136960","99990","1 Chicago Beef Burger + 1 She Caught the Chicken Burger + 1 Matcha Mindfulness + 1 Es Cokelat Cozy","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","BroBagi 3 - The Crispy Chicken Meal","132960","99990","1 Fried Chicken Rice Meal Classic + 1 She Caught the Chicken Burger + 1 Matcha Mindfulness + 1 Es Cokelat Cozy","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","The Brothers","81989","72990","1 Chicago Beef Burger + 1 She Caught the Chicken Burger","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","The Chicken Burger Combo","75980","67990","1 She Caught the Chicken Burger + 1 She Caught the Chicken Burger","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","The Cheesy Chicken Combo","82980","73990","1 Beef Cheese Burger to Love + 1 She Caught the Chicken Burger","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Best of Chicken Burger","72980","64990","1 She Caught the Chicken Burger + 1 The O.G. Chicken Burger","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","The OG Chicken Burger Combo","69980","61990","1 The O.G. Chicken Burger + 1 The O.G. Chicken Burger","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Asian Chicken Burger Combo","78980","71990","1 Daebak Chicken Burger + 1 Thai Chili Chicken Burger","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","She Caught Ol Fish Combo","80980","72990","1 The Good Ol Fish Burger + 1 She Caught the Chicken Burger","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Chicago Beef Burger MEAL","67480","60490","Chicago Beef Burger + French Fries + Tea","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","She Caught the Chicken Burger MEAL","61480","54490","She Caught the Chicken Burger + French Fries + Tea","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Cheese Burger to Love MEAL","68480","61490","Cheese Burger to Love + French Fries + Tea","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","She Caught the Chicken Burger + Es Matcha Mindfulness","64980","48990","1 She Caught the Chicken Burger + 1 Es Matcha Mindfulness","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","The OG Chicken Burger Meal","58480","51990","The O.G. Chicken Burger Meal + French Fries + Tea","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Bros Family Pack Chicken Burger","158940","123990","She Caught the Chicken Burger + The O.G. Chicken Burger + 2x Lil Bro Chicken Burger + 4 Drinks","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","1 Chicago Beef Burger + 1 Es Kopi Cheer Me Up","66980","58990","1 Chicago Beef Burger + 1 Es Kopi Cheer Me Up","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","1 Chicago Beef Burger + 1 Coca-Cola","59990","57000","1 Chicago Beef Burger + 1 Coca-Cola 330ml","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Black Pepper Fried Chicken Rice Meal","61980","48990","Rice + 1Pc Fried Chicken + 1Pc Crispy Fried Chicken Fillet + Black Pepper Sauce + Drink","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Fried Chicken BOX","99990","89990","5 pcs Fried Chicken (Chicken part based on availability)","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Fried Chicken Rice Meal Mixed","51980","45990","Rice + 1Pc Fried Chicken + 1Pc Crispy Fried Chicken  Fillet + Drink","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Bros Family Pack Fried Chicken","147960","117990","5 Pcs Fried Chicken + 3 Rice + 3 Drinks (Chicken part based on availability)","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Messy Cheesy Chicken Burger","46990","41990","Cheese Stuffed Chicken Patty + Cheese Slice + Tomato + Pickles + Lettuce + Spicy Tartar","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Messy Cheesy Beef Burger","49990","44990","Cheese Stuffed Beef Patty + Cheese Slice + Tomato + Pickles + Lettuce + Spicy Tartar","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Lil Bro Chicken Burger Combo","39990","35990","2x Lil Bro Chicken Burger","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Junior Meal'","43000","38500","1x Lil Bro Chicken Burger + French Fries Medium + Yakult","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Cinnamon Roll","25990","22990","1 Cinnamon Roll","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Coffee Brownie","29990","26990","1 Brownies Kopi","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Almond Brownie","32990","28990","1 Brownies Almond","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Choco Lava Cake","29990","25990","Choco Lava Cake","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Es Sukur - Susu Kurma","28990","24990","Es + Susu Kurma","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Burger Bros","Ayam & bebek/Barat/Minuman/Cepat saji","Es Cendol Ceria","24990","21990","Es + Susu + Cendol (Produk tidak menggunakan santan untuk menjaga kualitas)","Ciledug, Tanggerang, Banten","-6.2400938","106.6873493"
"Cinepolis","Jajanan","Free Upsize","80000","55000","Buy Combo Large 22 Oz get FREE UPSIZE to 32 Oz","Pondok Kelapa, Jakarta Timur, Jakarta","-6.2380534","106.9320836"
"Corndog Doona","Jajanan/Sweets","Corndog Original Moza Mie","20000","19500","Mozarella di balut dengan adonan pilihan dengan tambahan toping mie chili saus dan mayonaise","Pinang, Jakarta Barat, Jakarta","-6.1762406","106.7090886"
